,tweets,Useful  Complains/Not Useful Complains,Useful/Useless,text_length,id,likes,retweets,source,url,created_at,image_url,author_name,author_screen_name,geo,location,hashtags,,,,,,,complaints,useful
0,RT @laurafearnfield: @BarristerSecret @claireperrymp will you sign up for this? I've already had to leave the criminal bar because of thisâ€¦,0,0,139,1144550000000000000,0.00E+00,2,Twitter for iPhone,http://twitter.com/download/iphone,28/06/19 10:07,http://pbs.twimg.com/profile_images/973090950011670529/k3VY6I5U_normal.jpg,Young Legal Aid Lawyers,YLALawyers,,UK,[],,,,,,,,
1,"RT @steviedubyu: Important thread on UK climate leadership and claims about ending the UK's contribution to climate change. 
 
 Will the publâ€¦",0,1,140,1144550000000000000,0.00E+00,5,Twitter for iPhone,http://twitter.com/download/iphone,28/06/19 10:06,http://pbs.twimg.com/profile_images/1230141386/Nick_Nuttgens_3577edit_normal.jpg,Nick Nuttgens,nicknuttgens,,United Kingdom,[],,,,,,,,
2,@beisgovuk What about the Â£2bn @UKEF provided to UK companies to fund fossil fuel extraction abroad last year? Notâ€¦ https://t.co/XofxclFrna,0,1,140,1144540000000000000,0.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,28/06/19 9:28,http://pbs.twimg.com/profile_images/1118396091899219969/XJvYnP0k_normal.png,Chris Brennan (â§–),QuietYorkshire,,Yorkshire and The Humber,[],,,,,,,,
3,UK committed nearly Â£2bn to fossil fuel projects abroad last year https://t.co/leedGdqr2u @claireperrymp you wroteâ€¦ https://t.co/P6wIT4vCtG,1,1,139,1144520000000000000,0.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,28/06/19 8:05,http://pbs.twimg.com/profile_images/1118396091899219969/XJvYnP0k_normal.png,Chris Brennan (â§–),QuietYorkshire,,Yorkshire and The Humber,[],,,,,,,,
4,"RT @steviedubyu: Important thread on UK climate leadership and claims about ending the UK's contribution to climate change. 
 
 Will the publâ€¦",0,1,140,1144510000000000000,0.00E+00,5,Twitter Web Client,http://twitter.com,28/06/19 7:44,http://pbs.twimg.com/profile_images/827200538777300992/_kuvJhA4_normal.png,Henry Adams,henryadamsUK,,Cumbria UK,[],,,,,,,,
5,"What happens now that our ""friends"" and ""allies"" in US and Saudi are taking up with other despotic states to block UN climate progress? How do we make CoP effective?",0,1,140,1144510000000000000,0.00E+00,5,Twitter for iPad,http://twitter.com/#!/download/ipad,28/06/19 7:26,http://pbs.twimg.com/profile_images/774201390780538880/i8aewTWG_normal.jpg,bakera,bakerainlondon,,Teddington,[],,,,,,,,
6,"@AmberRuddHR @DavidGauke @Jeremy_Hunt @GregClarkMP @PhilipHammondUK @DLidington @GregHands @theresa_may @claireperrymp @oletwinofficial Tory members & voters will never forgive you for your betrayal.
Time to move aside & let someone who believes in Britain take over.¦ https://t.co/B0Aex3T67K",0,0,128,1144510000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,28/06/19 7:19,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,as,sksanglia,,"East, England",[],,,,,,,,
8,RT @claireperrymp: Thank you so much @theresa_may for your leadership in getting our UK Net Zero law passed so quickly and organising our Câ€¦,0,0,140,1144500000000000000,0.00E+00,7,Twitter for Android,http://twitter.com/download/android,28/06/19 7:02,http://pbs.twimg.com/profile_images/726879574429196292/fk_NCtuW_normal.jpg,Dr Richard Hall ðŸŒ„,TranspiredSolar,,Worldwide,[],,,,,,,,
9,"RT @steviedubyu: Important thread on UK climate leadership and claims about ending the UK's contribution to climate change. 
 
 Will the publâ€¦",0,1,140,1144490000000000000,0.00E+00,5.00E+00,Twitter Web Client,http://twitter.com,28/06/19 6:31,http://pbs.twimg.com/profile_images/1796855364/Copy_of_Twitter_poster_normal.PNG,Patrick Noble,BrynCocynFarm,,"Denbigh, Wales",[],,,,,,,,
10,"@laurafearnfield @BarristerSecret @claireperrymp Thank you very much Laura, yes we can find Claire someone if sheâ€™sâ€¦ https://t.co/ZD8LQbeXc5",0,1,140,1144480000000000000,0.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,28/06/19 5:48,http://pbs.twimg.com/profile_images/1123578349882945536/BsINnQT1_normal.jpg,APPG On Legal Aid,APPGLegalAid,,,[],,,,,,,,
